Title,Author,Category,Description,Query,Published,Modified
Logon Types within a Windows Environment (with logon count) -,Go Splunk,WinEventLog:Security,This query will identify logon types within a windows environment and list the number of logons associated with each type. ,"'source=""WinEventLog:security"" | eval LogonType=case(Logon_Type=""2"", ""Local Console Access"", Logon_Type=""3"", ""Accessing Network Folders or Files"", Logon_Type=""4"", ""Scheduled Task, Batch File, or Script"", Logon_Type=""5"", ""Service Account"", Logon_Type=""7"", ""Local Console Unlock"", Logon_Type=""8"", ""Network User Logon"", Logon_Type=""9"", ""Program launched with RunAs using /netonly switch"", Logon_Type=""10"", ""Remote Desktop via Terminal Services"", Logon_Type=""11"", ""Mobile Access or Network Domain Connection Resumed"") | top limit=15 LogonType | eval percent = round(percent,2) . "" %""'",2014-10-07T13:14:36+00:00,2014-10-07T14:36:17+00:00
Number of Accounts Created in a Windows Environment -,Go Splunk,WinEventLog:Security,Account Creation Gauge used to indicate number of accounts created in a Windows environment. EventCodes (EventID&#8217;s) used are for server 2003/XP and newer. Modify the gauge to fit your environment&#8217;s needs. ,"'sourcetype=WinEventLog:Security (EventCode=624 OR EventCode=4720) | eval NewAccount=case(EventCode=624, ""New Account Created"", EventCode=4720, ""New Account Created"") | stats count(NewAccount) as creation | gauge creation 1 5 15 25'",2014-10-07T14:40:59+00:00,
Gauge of Windows Successful Logons -,Go Splunk,WinEventLog:Security,Gauge of Windows Successful Logons. Adjust the gauge to meet your needs. ,"'source=""WinEventLog:security"" (EventCode=528 OR EventCode=540 OR EventCode=4624) | stats count(user) as Success_Logon | gauge Success_Logon 1 1000'",2014-10-07T14:41:59+00:00,
Gauge of Windows Failed Logons -,Go Splunk,WinEventLog:Security,Gauge of Windows Failed Logons. Adjust the gauge to meet your environments needs. ,"'sourcetype=""WinEventLog:Security"" (""EventCode=4625"") OR (""EventCode=529"" OR ""EventCode=530"" OR ""EventCode=531"" OR ""EventCode=532"" OR ""EventCode=533"" OR ""EventCode=534"" OR ""EventCode=535"" OR ""EventCode=536"" OR ""EventCode=537"" OR ""EventCode=539"") (Logon_Type=*) | stats count(user) as Failed_Logon | gauge Failed_Logon 1 25 50 150'",2014-10-07T14:43:33+00:00,
Escalation of Privileges in a Windows Environment by User -,Go Splunk,WinEventLog:Security,Escalation of Privileges in a Windows Environment by user. ,"'sourcetype=""WinEventLog:Security"" (EventCode=576 OR EventCode=4672 OR EventCode=577 OR EventCode=4673 OR EventCode=578 OR EventCode=4674) | stats count by user'",2014-10-07T14:45:07+00:00,
Password changes in a Windows environment by user account -,Go Splunk,WinEventLog:Security,Password changes in a Windows environment by user account. ,"'sourcetype=""WinEventLog:Security"" (EventCode=628 OR EventCode=627 OR EventCode=4723 OR EventCode=4724) | chart count by user'",2014-10-07T14:47:41+00:00,2014-10-07T14:48:02+00:00
Accounts Deleted via EventID&#039;s that Correspond with Post XP/2003 Operating Systems -,Go Splunk,WinEventLog:Security,"This query will search for accounts deleted via EventID&#8217;s that correspond with post XP/2003 operating systems. It will output the admin account, account deleted, details about the action, and the machine that the account deletion took place on. ","'sourcetype=WinEventLog:Security (EventCode=630) |eval Date=strftime(_time, ""%Y/%m/%d"")| stats count by User, Target_Account_Name, name, host, index Date | rename User as ""Administrator Account"" | rename Target_Account_Name as ""Account Name Deleted"" | rename name as ""Detailed Information"" |rename host as ""Computer the Account was Created on"" | rename index as ""Index of origin""| sort - Date', u'Target_User_Name_as_user,Primary_User_Name_as_user,Target_Account_Name_as_user,New_Account_Name_as_user,Account_Name_as_user,User_Name_as_user,User_as_user'",2014-10-07T14:50:38+00:00,
Security Access granted to an Account -,SplunkNinja,WinEventLog:Security,Like most windows security logs there are two formats depending on which version of windows you are running. The query for a Windows 7 / Server 2008 and newer looks like this: ,"'sourcetype=""WinEventLog:Security"" EventCode=4717 | eval Date=strftime(_time, ""%Y/%m/%d"") | stats count by src_user, user, Access_Right, Date, Keywords |rename src_user as ""Source Account"" | rename user as ""Target Account"" | rename Access_Right as ""New Rights Granted""', u'sourcetype=""WinEventLog:Security"" EventCode=621 Account_Modified!=""%{*"" | eval Date=strftime(_time, ""%Y/%m/%d"") | stats count by User_Name, Account_Modified, Access_Granted, Date, action |rename User_Name as ""Source Account"" | rename Account_Modified as ""Target Account"" | rename Access_Granted as ""New Rights Granted""'",2014-10-31T13:25:29+00:00,
System Security Access Removed from Account -,SplunkNinja,WinEventLog:Security,The following queries will list security access that was removed from an account in a Windows environment. Queries look different depending on which version of Windows you are running as the syntax and the EventID&#8217;s changed after 2003. Windows Server 2008 and newer: ,"'sourcetype=""WinEventLog:Security"" EventCode=4718 | eval Date=strftime(_time, ""%Y/%m/%d"") | stats count by src_user, user, Access_Right, Date, Keywords |rename src_user as ""Source Account"" | rename user as ""Target Account"" | rename Access_Right as ""Rights Removed""', u'sourcetype=""WinEventLog:Security"" EventCode=622 Account_Modified!=""%{*"" | eval Date=strftime(_time, ""%Y/%m/%d"") | stats count by User_Name, Account_Modified, Access_Removed, Date, action |rename User_Name as ""Source Account"" | rename Account_Modified as ""Target Account"" | rename Access_Removed as ""Rights Removed""'",2014-10-31T13:25:29+00:00,
Console Lock Duration -,SplunkNinja,WinEventLog:Security,The following code works only in windows 2008 and newer operating systems: ,"'sourcetype=WinEventLog:Security (EventCode=4800 OR EventCode=4801) | eval Date=strftime(_time, ""%Y/%m/%d"") | transaction host Account_Name startswith=EventCode=4800 endswith=EventCode=4801 | eval duration = duration/60 | eval duration=round(duration,2)| table host, Account_Name, duration, Date |rename duration as ""Console Lock Duration in Minutes"" | sort - date'",2014-11-07T18:56:39+00:00,
Windows Power Off Duration -,SplunkNinja,WinEventLog:System,This query will indicate the time it took between a computer shutdown and a computer powering back on. Typically found in restarts and shutdowns. This would not occur during a hard-reset or loss of power. ,"'sourcetype=WinEventLog:System (EventCode=6005 OR EventCode=6006) | transaction host startswith=""EventCode=6006"" endswith=""EventCode=6005"" | eval restart_duration=tostring(duration,""duration"") | eval Date=strftime(_time, ""%Y/%m/%d"")| where duration &gt; 480 | table host index Date restart_duration | sort - Date | rename restart_duration as ""Restart Duration""'",2014-11-10T15:29:31+00:00,2014-11-10T15:34:00+00:00
Time between rights granted and rights revoked -,SplunkNinja,WinEventLog:Security,"This query outputs a table that indicates the time difference between Rights granted and Rights revoked. Modify the maxspan time within the transaction function to meet your environments needs. Regex is used here, and is part of the query. Windows 2008 and newer: ","'sourcetype=WinEventLog:Security (EventCode=4717 OR EventCode=4718) | rex ""Access\\sGranted:\\s+Access\\sRight:\\s+(?\\w+)""| rex ""Access\\sRemoved:\\s+Access\\sRight:\\s+(?\\w+)""| eval Rights=coalesce(RightGranted,RightRemoved) | eval status=case(EventCode=4717, ""New Rights Granted by:"", EventCode=4718, ""Rights Removed by:"")| transaction Rights user startswith=""Granted"" endswith=""Removed"" |where duration &gt; 0| eval duration = duration/60 |eval n=round(duration,2) | eval Date=strftime(_time, ""%Y/%m/%d"") | table Date, host, status, Security_ID, user, Rights, n |rename Security_ID as ""Source Account"" | rename user as ""Target Account"" | rename n as ""Minutes between Rights Granted Then Removed"" | sort - date', u'sourcetype=WinEventLog:Security (EventCode=608 OR EventCode=609) | rex ""Message=User\\sRight\\sAssigned:\\s+User\\sRight:\\s+(?\\w+)""| rex ""Message=User\\sRight\\sRemoved:\\s+User\\sRight:\\s+(?\\w+)""| eval Rights=coalesce(RightGranted,RightRemoved) | eval status=case(EventCode=608, ""New Rights Granted by:"", EventCode=609, ""Rights Removed by:"")| transaction Rights user startswith=""Assigned"" endswith=""Removed"" |where duration &gt; 0| eval duration = duration/60 |eval n=round(duration,2) | eval Date=strftime(_time, ""%Y/%m/%d"") | table Date, host, status, User, user, Rights, n | rename User as ""Source Account"" | rename user as ""Target Account"" | rename n as ""Minutes between Rights Granted Then Removed"" | sort - date'",2014-11-10T20:30:48+00:00,
Windows Time Change -,SplunkNinja,WinEventLog:Security,"This query will list all users who initiated a time change. System accounts change time automatically, as such I&#8217;ve ignored system accounts from the query output. Windows 2008 and newer: ","'sourcetype=WinEventLog:Security EventCode=4616 Account_Name!=""*$"" Account_Name!=""LOCAL SERVICE""| stats count by Account_Name', u'sourcetype=WinEventLog:Security user!=""*$"" user!=""LOCAL SERVICE"" EventCode=520 | stats count by user'",2014-11-10T20:31:09+00:00,
Accounts Enabled -,ItsJohnLocke,WinEventLog:Security,This query will return results on all accounts enabled for a given time range. It is using EventCodes for windows 2008 and newer operating systems: ,"'sourcetype=WinEventLog:Security (EventCode=4722) | stats count by index, user, host, name'",2014-11-12T14:29:35+00:00,
Accounts Disabled -,ItsJohnLocke,WinEventLog:Security,This query will return results for accounts disabled on a windows 2008 or newer operating system for a given time range: ,"'sourcetype=WinEventLog:Security (EventCode=4725) | stats count by index, user, host, name'",2014-11-12T14:29:47+00:00,
Detailed list of Universal Forwarders Reporting to Indexer -,SplunkNinja,splunkd,The following query will list in detail information on the universal forwarders checking into the indexer. I&#8217;ve renamed some of the fields to be more user-friendly. ,"'index=_internal sourcetype=splunkd destPort!=""-""| stats sparkline count by hostname, sourceHost, host, destPort, version | rename destPort as ""Destination Port"" | rename host as ""Indexer"" | rename sourceHost as ""Universal Forwarder IP"" | rename version as ""Splunk Forwarder Version"" | rename hostname as ""Universal Forwarder Host Name"" | rename sparkline as ""Traffic Frequency"" | sort - count'",2014-11-13T14:52:51+00:00,
Total Number of Hosts reporting in. -,SplunkNinja,splunkd,This query will list the total number of hosts reporting to the indexer for any specified time range. This only works for universal forwarders. If you have hosts reporting in over syslog (typically port 514) they will not be listed. ,"'index=_internal sourcetype=splunkd | stats dc(hostname) as ""Number of Hosts""'",2014-11-13T19:00:47+00:00,
Microsoft AntiMalware Scan Completion -,SplunkNinja,WinEventLog:System,"This query lists a count by scan type, duration of scan, and the host the scan took place on. Modify as needed. ","'sourcetype=""WinEventLog:System"" SourceName=""Microsoft Antimalware"" EventCode=1001 | stats count by Scan_Type, Scan_Time, host'",2014-11-17T19:23:14+00:00,
Microsoft Antimalware Malware Detection Details -,SplunkNinja,WinEventLog:System,"This query will return results if malware is detected, and return detailed information on the Malware detected. ","'sourcetype=""WinEventLog:System"" SourceName=""Microsoft Antimalware""  EventCode=1116 |eval Date=strftime(_time, ""%Y/%m/%d"")| stats count by host, Category, Name, Path, Severity, Date'",2014-11-17T19:33:36+00:00,
Microsoft Antimalware Virus Remediation Details -,SplunkNinja,WinEventLog:System,This query will return detailed results on malware/virus remediation. ,"'sourcetype=""WinEventLog:System"" SourceName=""Microsoft Antimalware"" EventCode=1117 |eval Date=strftime(_time, ""%Y/%m/%d"")| stats count by host, Category, Name, Severity, Date, Action_Status'",2014-11-17T20:38:01+00:00,
Average CPU Usage on a Windows box -,SplunkNinja,Perfmon:CPU Load,This query will return the average CPU usage by minute. ,"'sourcetype=""Perfmon:CPU Load"" | bucket _time span=1m | stats avg(Value) by _time'",2014-11-17T20:52:11+00:00,2014-11-18T17:31:06+00:00
Available Disk Space on a Windows Box -,SplunkNinja,Perfmon:Free Disk Space,This splunk query will return available disk space in Gigabytes. ,"'sourcetype=""Perfmon:Free Disk Space"" | bucket _time span=1d | eval gigabytes=(Value/1024) | stats avg(gigabytes) by _time'",2014-11-18T17:51:52+00:00,
Median Duration of a Session within an IIS Web Environment -,Go Splunk,IIS,This query will report back the median duration of a session within an IIS web environment. The time format will be HH:MM:SS ,"'sourcetype=""iis"" | stats range(_time) as duration by JSESSIONID | stats median(duration) as AVD | fieldformat AVD=tostring(AVD,""duration"") | eval AVD=round(AVD, 0)'",2014-10-07T14:52:03+00:00,2014-11-18T17:53:58+00:00
Average Duration of a Session within an IIS Web Environment -,Go Splunk,IIS,This query will report back the average duration of a session within an IIS web environment. The time format will be HH:MM:SS ,"'sourcetype=""iis"" | stats range(_time) as duration by JSESSIONID | stats avg(duration) as AVG | fieldformat AVG=tostring(AVG,""duration"") | eval AVG=round(AVG, 0)'",2014-10-07T14:53:25+00:00,2014-11-18T17:54:22+00:00
Network Usage by KB per minute on a Windows Box -,SplunkNinja,Perfmon:Network Interface,The following query will return average network usage per minute by Kilobyte: ,"'sourcetype=""Perfmon:Network Interface"" | bucket _time span=1m | eval KB=(Value/1024) | stats avg(KB) by _time'",2014-11-18T18:04:03+00:00,2014-11-18T18:04:29+00:00
Real Time IIS Web Site Connections -,SplunkNinja,IIS,"Assuming JSESSIONID is auto-extracted, run the following REAL-TIME search (choose your window, I typically go with 5 minutes): ","'sourcetype=""iis"" | stats dc(JSESSIONID)'",2014-11-18T21:27:07+00:00,
Failed Login to OSX -,ItsJohnLocke,osx_secure,The following splunk query will return results on users who made unsuccessful attempts to login to an OSX machine: ,"'sourcetype=osx_secure | rex ""authinternal\\sfailed\\sto\\sauthenticate\\suser\\s(?\\S+)"" |eval Date=strftime(_time, ""%Y/%m/%d"") | stats count by USER, host, Date | sort - count'",2014-11-20T13:33:16+00:00,
List of Source Names and Frequency of Events -,SplunkNinja,Uncategorized,The following splunk query will output a list of all SourceNames in a windows environment and include a sparkline to indicate frequency: ,"'eventtype=""windows_events"" sourcetype=""*EventLog:*"" (host=""*"" OR ComputerName=""*"") TaskCategory=""*""  SourceName=""*"" EventCode=""*"" Type=""*""  | stats sparkline as Activity, count by host | sort -count'",2014-12-01T18:46:30+00:00,
Weekend User Activity -,SplunkNinja,WinEventLog:Security,Run the following (modify user field as needed) to show weekend activity: ,"'sourcetype=""WinEventLog:Security"" (date_wday=saturday OR date_wday=sunday) | stats count by Account_Name, date_wday'",2015-01-19T19:43:39+00:00,
Failed Logins Windows -,SplunkNinja,WinEventLog:Security,Splunk query for all failed logon attempts within a windows environment. ,"'sourcetype=""WinEventLog:Security"" (""EventCode=4625"") OR (""EventCode=529"" OR ""EventCode=530"" OR ""EventCode=531"" OR ""EventCode=532"" OR ""EventCode=533"" OR ""EventCode=534"" OR ""EventCode=535"" OR ""EventCode=536"" OR ""EventCode=537"" OR ""EventCode=539"") '",2015-02-02T15:25:40+00:00,
